path,purpose,width,height,bytes,published
media/archive/duplicates/brands-photo-001-1280x1280-retained-copy-01.jpg,Unpublished identical copy,1280,1280,992261,no
media/archive/duplicates/brands-photo-001-1920x1920-retained-copy-01.jpg,Unpublished identical copy,1920,1920,1904000,no
media/archive/duplicates/brands-photo-002-1280x2269-retained-copy-01.jpg,Unpublished identical copy,1280,2269,1353188,no
media/archive/duplicates/brands-photo-002-1920x3403-retained-copy-01.jpg,Unpublished identical copy,1920,3403,2589745,no
media/archive/duplicates/brands-photo-003-1280x1280-retained-copy-01.jpg,Unpublished identical copy,1280,1280,871938,no
media/archive/duplicates/brands-photo-003-1920x1920-retained-copy-01.jpg,Unpublished identical copy,1920,1920,1751522,no
media/archive/duplicates/brands-photo-004-1280x1280-retained-copy-01.jpg,Unpublished identical copy,1280,1280,1057314,no
media/archive/duplicates/brands-photo-004-1920x1920-retained-copy-01.jpg,Unpublished identical copy,1920,1920,2037365,no
media/archive/duplicates/brands-photo-005-1280x1280-retained-copy-01.jpg,Unpublished identical copy,1280,1280,727295,no
media/archive/duplicates/brands-photo-005-1920x1920-retained-copy-01.jpg,Unpublished identical copy,1920,1920,1543919,no
media/archive/duplicates/brands-photo-006-1280x1280-retained-copy-01.jpg,Unpublished identical copy,1280,1280,821578,no
media/archive/duplicates/brands-photo-006-1920x1920-retained-copy-01.jpg,Unpublished identical copy,1920,1920,1642863,no
media/archive/duplicates/brands-photo-007-1280x923-retained-copy-01.jpg,Unpublished identical copy,1280,923,489366,no
media/archive/duplicates/brands-photo-007-1920x1384-retained-copy-01.jpg,Unpublished identical copy,1920,1384,1160568,no
media/archive/duplicates/brands-photo-008-1280x951-retained-copy-01.jpg,Unpublished identical copy,1280,951,704870,no
media/archive/duplicates/brands-photo-008-1920x1426-retained-copy-01.jpg,Unpublished identical copy,1920,1426,1682029,no
media/archive/duplicates/brands-photo-009-1280x743-retained-copy-01.jpg,Unpublished identical copy,1280,743,311810,no
media/archive/duplicates/brands-photo-009-1920x1114-retained-copy-01.jpg,Unpublished identical copy,1920,1114,794040,no
media/archive/duplicates/brands-photo-010-1280x1943-retained-copy-01.jpg,Unpublished identical copy,1280,1943,1052428,no
media/archive/duplicates/brands-photo-010-1920x2915-retained-copy-01.jpg,Unpublished identical copy,1920,2915,2642842,no
media/archive/duplicates/brands-photo-011-1280x543-retained-copy-01.jpg,Unpublished identical copy,1280,543,217839,no
media/archive/duplicates/brands-photo-011-1920x815-retained-copy-01.jpg,Unpublished identical copy,1920,815,466509,no
media/archive/duplicates/brands-photo-012-1280x906-retained-copy-01.jpg,Unpublished identical copy,1280,906,527396,no
media/archive/duplicates/brands-photo-012-1920x1358-retained-copy-01.jpg,Unpublished identical copy,1920,1358,1229394,no
media/archive/duplicates/brands-photo-013-1280x1012-retained-copy-01.jpg,Unpublished identical copy,1280,1012,551090,no
media/archive/duplicates/brands-photo-013-1920x1518-retained-copy-01.jpg,Unpublished identical copy,1920,1518,1341496,no
media/archive/duplicates/portraits-photo-001-1280x1824-retained-copy-01.jpg,Unpublished identical copy,1280,1824,1231720,no
media/archive/duplicates/portraits-photo-001-1920x2735-retained-copy-01.jpg,Unpublished identical copy,1920,2735,3009257,no
media/archive/duplicates/portraits-photo-002-1280x2276-retained-copy-01.jpg,Unpublished identical copy,1280,2276,1693470,no
media/archive/duplicates/portraits-photo-002-1920x3413-retained-copy-01.jpg,Unpublished identical copy,1920,3413,3962757,no
media/archive/duplicates/portraits-photo-003-1280x838-retained-copy-01.jpg,Unpublished identical copy,1280,838,528872,no
media/archive/duplicates/portraits-photo-003-1920x1257-retained-copy-01.jpg,Unpublished identical copy,1920,1257,1267867,no
media/archive/duplicates/portraits-photo-004-1280x2524-retained-copy-01.jpg,Unpublished identical copy,1280,2524,2052058,no
media/archive/duplicates/portraits-photo-004-1920x3786-retained-copy-01.jpg,Unpublished identical copy,1920,3786,4535221,no
media/archive/duplicates/portraits-photo-005-1280x2802-retained-copy-01.jpg,Unpublished identical copy,1280,2802,1872016,no
media/archive/duplicates/portraits-photo-005-1871x4096-variant-2-retained-copy-01.jpg,Unpublished identical copy,1871,4096,3217633,no
media/archive/duplicates/portraits-photo-006-1280x2041-retained-copy-01.jpg,Unpublished identical copy,1280,2041,819215,no
media/archive/duplicates/portraits-photo-006-1920x3061-retained-copy-01.jpg,Unpublished identical copy,1920,3061,1844728,no
media/archive/duplicates/portraits-photo-007-1280x1911-retained-copy-01.jpg,Unpublished identical copy,1280,1911,1140703,no
media/archive/duplicates/portraits-photo-007-1920x2866-retained-copy-01.jpg,Unpublished identical copy,1920,2866,2679483,no
media/archive/duplicates/portraits-photo-008-1280x2214-retained-copy-01.jpg,Unpublished identical copy,1280,2214,1296101,no
media/archive/duplicates/portraits-photo-008-1920x3321-retained-copy-01.jpg,Unpublished identical copy,1920,3321,2599600,no
media/archive/duplicates/portraits-photo-009-1280x2321-retained-copy-01.jpg,Unpublished identical copy,1280,2321,1585565,no
media/archive/duplicates/portraits-photo-009-1920x3481-retained-copy-01.jpg,Unpublished identical copy,1920,3481,3603747,no
media/archive/duplicates/portraits-photo-010-1280x2334-retained-copy-01.jpg,Unpublished identical copy,1280,2334,1083203,no
media/archive/duplicates/portraits-photo-010-1920x3501-retained-copy-01.jpg,Unpublished identical copy,1920,3501,2141811,no
media/archive/duplicates/portraits-photo-011-1280x1967-retained-copy-01.jpg,Unpublished identical copy,1280,1967,1234854,no
media/archive/duplicates/portraits-photo-011-1920x2950-retained-copy-01.jpg,Unpublished identical copy,1920,2950,2973829,no
media/archive/duplicates/portraits-photo-012-1280x2278-retained-copy-01.jpg,Unpublished identical copy,1280,2278,1235050,no
media/archive/duplicates/portraits-photo-012-1920x3416-retained-copy-01.jpg,Unpublished identical copy,1920,3416,2965912,no
media/archive/duplicates/portraits-photo-013-1280x886-retained-copy-01.jpg,Unpublished identical copy,1280,886,685018,no
media/archive/duplicates/portraits-photo-013-1920x1329-retained-copy-01.jpg,Unpublished identical copy,1920,1329,1426699,no
media/archive/duplicates/portraits-photo-014-1280x2275-retained-copy-01.jpg,Unpublished identical copy,1280,2275,1605101,no
media/archive/duplicates/portraits-photo-014-1920x3413-retained-copy-01.jpg,Unpublished identical copy,1920,3413,3092050,no
media/archive/duplicates/portraits-photo-015-1280x1677-retained-copy-01.jpg,Unpublished identical copy,1280,1677,1243981,no
media/archive/duplicates/portraits-photo-015-1920x2516-retained-copy-01.jpg,Unpublished identical copy,1920,2516,2978881,no
media/archive/duplicates/portraits-photo-016-1280x1817-retained-copy-01.jpg,Unpublished identical copy,1280,1817,1204451,no
media/archive/duplicates/portraits-photo-016-1920x2726-retained-copy-01.jpg,Unpublished identical copy,1920,2726,2690112,no
media/archive/duplicates/portraits-photo-017-1280x1280-retained-copy-01.jpg,Unpublished identical copy,1280,1280,823371,no
media/archive/duplicates/portraits-photo-017-1920x1920-retained-copy-01.jpg,Unpublished identical copy,1920,1920,1908466,no
media/archive/duplicates/portraits-photo-018-1280x851-retained-copy-01.jpg,Unpublished identical copy,1280,851,398095,no
media/archive/duplicates/portraits-photo-018-1920x1276-retained-copy-01.jpg,Unpublished identical copy,1920,1276,903073,no
media/archive/duplicates/portraits-photo-019-1280x2276-retained-copy-01.jpg,Unpublished identical copy,1280,2276,1514055,no
media/archive/duplicates/portraits-photo-019-1920x3413-retained-copy-01.jpg,Unpublished identical copy,1920,3413,3161591,no
media/archive/duplicates/portraits-photo-020-1280x686-retained-copy-01.jpg,Unpublished identical copy,1280,686,553384,no
media/archive/duplicates/portraits-photo-020-1920x1029-retained-copy-01.jpg,Unpublished identical copy,1920,1029,1136035,no
media/archive/duplicates/portraits-photo-021-1280x1280-retained-copy-01.jpg,Unpublished identical copy,1280,1280,674030,no
media/archive/duplicates/portraits-photo-021-1920x1920-retained-copy-01.jpg,Unpublished identical copy,1920,1920,1666027,no
media/archive/duplicates/portraits-photo-022-1280x1280-retained-copy-01.jpg,Unpublished identical copy,1280,1280,824627,no
media/archive/duplicates/portraits-photo-022-1920x1920-retained-copy-01.jpg,Unpublished identical copy,1920,1920,1818461,no
media/archive/duplicates/portraits-photo-023-1280x800-retained-copy-01.jpg,Unpublished identical copy,1280,800,768689,no
media/archive/duplicates/portraits-photo-023-1920x1200-retained-copy-01.jpg,Unpublished identical copy,1920,1200,1615366,no
